Timestep, Average Length, Average Reward, Std
853485,64.4,121.27108661529675,2.0358020508487837
858406,65.4,124.41218249898857,1.3291571545792515
863406,74.3,150.35850487031706,2.5949425802761015
868201,72.3,145.17937016867015,5.080666199847608
872931,75.3,154.0451911310126,7.218351057946143
878172,76.5,157.29838467660642,4.254509245024119
882737,79.9,165.95170479139625,5.146601895775688
887058,74.5,150.08836358039892,5.493580541504333
891987,73.2,146.39922856460365,6.697099265768137
897266,71.8,142.09429176250688,5.022277517659254
903128,76.0,154.5130419808165,4.585869419093424
908522,73.5,146.84139729045427,4.480119048211715
914656,72.3,143.0772490879587,3.3845427470499687
920050,79.6,161.32984245105828,4.803266344077858
925477,77.7,153.9143166684736,5.807633092301948
929865,77.7,152.2436868257286,9.630642786236626
936071,76.2,142.16607760493633,6.48017893773769
940990,82.8,164.31726440699765,7.688687837239239
945657,81.4,158.2067502933986,9.932106535986335
950423,83.6,166.22238746022964,10.758980693692068
954859,84.0,171.04841506563943,13.645576308737612
960511,80.2,162.87233119627373,11.478808516727025
965385,79.0,162.2655573877713,6.112408250964937
970569,84.9,171.23738612094877,6.724800485356998
974852,85.0,173.18787225783788,10.620100958762627
979412,91.4,194.91812327010126,9.852383407911319
984754,87.2,186.44823144177946,9.022313361327328
989947,84.0,178.7067433802251,8.539705798039952
994774,86.5,187.26265392550542,7.607813270545736
999441,87.6,190.77617709593991,5.5281504874821215
1004273,92.3,203.96354337676217,5.946335478308045
1010025,92.7,204.46307196033774,7.9253106387350245
1015117,92.1,201.9476258787301,6.292102774888063
1019418,93.0,203.8782181562297,4.356207672977854
1024471,92.4,203.61908937497407,4.962505998888583
1029471,93.7,208.12149649124217,4.294133803108239
1034471,98.2,219.3155782208401,2.836476247826535
1039321,97.2,219.50414667614297,2.8573413371715106
1043703,92.6,207.31814951510805,2.130044295996183
1049343,90.8,202.34356811154734,3.2186750462052673
1054343,90.4,201.16885561133455,3.5893385914466456
1059581,90.7,200.59293805222023,5.196066566118708
1065424,91.8,200.80092994444698,2.9574192736691787
1070424,87.9,191.55314428884816,5.634067061424624
1074789,83.7,181.02477039348238,7.804944949721429
1079539,82.6,177.3487949346392,6.462997995713336
1084539,99.0,226.7307036867066,3.625448346559725
1089104,97.8,223.12368119001363,3.0132026149469904
1094104,103.5,235.455022356236,1.288665046236018
1098774,102.5,235.48374464934386,1.3013023562189285
1103909,106.7,240.46802583836825,1.5264877906811976
1108483,101.5,229.1879619602974,2.2521970492138146
1112918,97.9,216.38295933996255,4.911093904996261
1118109,95.8,214.62354667761142,6.442589739908173
1124097,97.0,220.30638052542628,5.9161163920649615
1128851,97.2,220.71270901162006,6.080619423336474
1133346,93.0,200.85885208846543,9.087302614112543
1138107,87.2,184.2070030491647,17.862182973123083
1143107,73.3,146.9273677218984,3.798608643057292
1147714,87.5,186.59661582068105,9.303365363451507
1152407,83.0,177.60048723289785,17.402415536062893
1157192,87.1,187.19693213703218,13.62602750808883
1160920,71.5,142.7737386280124,7.586430660160896
1165878,95.8,211.19161458316884,5.859159524247189
1171511,97.5,221.25817703610466,4.4816377367887545
1176511,97.5,221.21483419582054,2.5673207766037107
1181511,102.4,233.84952295570093,1.2752619071166926
1186511,87.3,190.43798366592202,29.728161375356127
1191827,72.7,146.07046421637185,9.700945949456521
1196827,69.1,135.39984507864796,7.860551373168066
1201827,68.7,134.25050793333108,8.771441866038915
1206881,68.2,132.72757675358113,7.5088701306834835
1211985,73.7,149.17797959495437,8.931228188361573
1216985,67.2,130.1936550979671,6.296741273152066
1221652,96.2,215.5429873999176,33.699165176235766
1226767,87.2,189.5243029816066,40.858841372222834
1231149,96.5,215.67663948165767,31.619008991337992
1236447,85.9,185.96625505223568,45.49574893078064
1242367,87.2,189.81978493918777,43.94212509474142
1246650,84.3,182.39145591615085,42.73178384287699
