Timestep, Average Length, Average Reward, Std
858406,65.4,124.41218284158693,1.329156607915853
863406,74.3,150.35850647648175,2.5949392580075994
868201,72.3,145.17938070771638,5.080647409480727
872931,75.3,154.0453145155455,7.218224484388951
878172,76.5,157.29839221349553,4.254502151116935
882737,79.9,165.951703483991,5.146602803702175
887058,74.5,150.08836169101784,5.493589290554596
891987,73.2,146.39918997855054,6.697166709968868
897266,71.8,142.09429054100178,5.022265983932079
903128,76.0,154.5130291789876,4.5858815844458265
908522,73.5,146.8413947808593,4.480106956041685
914656,72.3,143.0772524806304,3.3845362704614623
920050,79.6,161.32984880093034,4.803261752053926
925477,77.7,153.9143311221053,5.807618419825255
929865,77.7,152.24368402824717,9.630655915986045
936071,76.2,142.16607834139833,6.480181204971708
940990,82.8,164.31726225582838,7.688691195694306
945657,81.4,158.20674366413158,9.93210304371237
950423,83.6,166.22238845565425,10.758984233530045
954859,84.0,171.04841861091248,13.64557263391927
960511,80.2,162.87234083657466,11.478810792654636
965385,79.0,162.26555604727923,6.1124154081353375
970569,84.9,171.23738434611286,6.724789268350348
974852,85.0,173.18804388629414,10.620352131499303
979412,91.4,194.91850118802023,9.851559967851141
984754,87.2,186.44824892390096,9.022290094005157
989947,84.0,178.70670646326866,8.539462411824463
994774,86.5,187.26258319573168,7.607916753203978
999441,87.6,190.7743950974982,5.529438713983843
1004273,92.3,203.9632383631241,5.943750735839864
1010025,92.7,204.4608694884906,7.9269692891768475
1015117,92.1,201.94695035138457,6.289106147344247
1019418,92.8,203.2722114307267,4.571271371511769
1024471,92.3,203.31550481495213,5.0998327690235845
1029471,93.7,208.12145016897585,4.294105941190296
1034471,98.2,219.31630148158237,2.836105580024642
1039321,97.2,219.50323155965907,2.8566191063750948
1043703,92.6,207.31816107209505,2.130035097172084
1049343,90.8,202.34358658719108,3.218728718863338
1054343,90.4,201.16882527441143,3.5893774647577654
1059581,90.6,200.28813960550258,4.965234812770448
1065424,91.9,201.09973114534486,2.46689583933955
1070424,87.8,191.28042691373543,4.552891241582427
1074789,83.7,181.0242711950722,7.805197046751961
1079539,82.6,177.34879178804226,6.463009090642748
1084539,99.0,226.73176248831288,3.6275892104018412
1089104,97.8,223.12379971062083,3.0132573875057833
1094104,103.5,235.4542676788788,1.281692432173537
1098774,102.5,235.48350969403637,1.3012196291124
1103909,106.8,240.8961738553628,1.8598525527205192
1108483,101.4,228.82837426578794,2.731813055086627
1112918,98.1,216.9578002924029,4.089026667648548
1118109,95.6,214.03459867775396,6.74920517343399
1124097,97.0,220.31013556171598,5.9137437160953725
1128851,97.2,220.71113442173993,6.079735048865831
1133346,92.6,199.71574905071432,9.034072863939162
1138107,87.1,183.93500479949907,17.867941638315948
1143107,73.3,146.92690504754364,3.798880974327854
1147714,86.9,184.81708662944328,9.023010572161313
1152407,83.1,177.91172807032777,17.7974852564173
1157192,86.9,186.58881744685385,12.944155382664482
1160920,71.5,142.77363853796055,7.586466486590176
1165878,95.9,211.47076835458864,4.608622554138
1171511,97.5,221.25958977300738,4.482770347141648
1176511,97.5,221.21490473246257,2.567295264151112
1181511,102.4,233.85043506200518,1.2753390812924474
1186511,87.3,190.43803312075408,29.728041287394717
1191827,72.7,146.07058413791094,9.700668062532003
1196827,69.0,135.10335762630487,7.843961061825659
1201827,68.7,134.25062888547362,8.771357714280098
1206881,68.2,132.72765789200034,7.508859824902498
1211985,73.7,149.17883281288567,8.932232877260331
1216985,67.2,130.19366676235478,6.296726858670024
1221652,96.2,215.5420813811674,33.70116640310033
1226767,87.2,189.5234906633146,40.85825610244016
1231149,96.5,215.66554281157414,31.607278052736554
1236447,82.9,176.94431838791013,45.558656940232844
1242367,87.2,189.79052522123573,43.91296963943946
1246650,84.4,182.6850984343302,42.525091661723195
